ORIGIN_AIRPORT,DEST_AIRPORT,Adjusted_Air_Time
MIA,BOS,180
DFW,IND,180
DFW,LAS,50
ORD,EWR,178
DFW,IAD,241
IAD,DFW,137
ORD,SEA,137
SLC,DFW,213
CLT,EWR,112
DFW,CLT,202
DCA,PHX,87
PBI,DFW,134
DFW,RNO,98
IAH,ORD,162
BWI,CLT,83
CHO,CLT,130
PHL,RIC,84
PHL,GRR,135
BDL,PHL,74
PHL,BDL,85
CLE,PHL,83
PHL,CLE,93
MHT,PHL,93
CLT,ROA,49
ROA,CLT,86
MDT,PHL,43
PHL,SWF,72
SWF,PHL,60
PHL,BDL,67
MHT,PHL,84
PHL,MHT,80
PHL,ROA,89
ROA,PHL,76
PHL,RIC,61
RIC,PHL,62
PHL,SYR,53
MKE,PHL,177
PHL,BWI,47
PHL,RIC,75
RIC,PHL,57
ORF,PHL,60
PHL,ORF,64
CHO,PHL,85
PHL,PWM,105
PWM,PHL,105
LYH,CLT,63
BGR,PHL,129
PHL,BGR,100
PHL,ERI,128
ROA,PHL,94
CLT,ROA,92
MYR,PHL,95
PHL,MYR,110
MDT,PHL,48
PHL,MDT,52
PHL,MKE,74
MKE,PHL,172
PHL,MKE,86
BWI,PHL,49
PHL,BWI,71
ORF,PHL,75
PHL,ORF,70
RIC,PHL,81
CLT,ROA,62
ROA,CLT,96
MKE,PHL,194
PHL,MKE,69
PHL,SYR,66
SYR,PHL,160
CLT,CHO,89
CLE,PHL,95
PHL,CLE,90
PHL,RIC,101
RIC,PHL,65
DTW,PHL,118
PHL,DTW,103
MHT,PHL,83
PHL,MHT,85
CLE,PHL,106
PHL,CLE,84
SWF,PHL,72
CLT,LYH,64
LYH,CLT,90
MDT,PHL,50
PHL,MDT,58
MDT,PHL,53
MDT,PHL,48
CHO,PHL,78
MKE,PHL,194
IPT,PHL,54
PHL,RIC,69
CAE,CLT,64
CLT,CAE,53
BDL,PHL,77
PHL,BDL,54
PHL,BNA,79
PHL,PWM,81
PWM,PHL,105
PHL,CHO,75
CLE,PHL,85
PHL,SYR,97
SYR,PHL,87
IPT,PHL,58
PHL,IPT,83
ROA,CLT,62
PHL,MYR,104
ORF,PHL,69
PHL,ORF,60
LAX,SMF,91
SMF,LAX,107
LAX,SMF,83
SMF,LAX,91
RNO,LAX,99
LAX,OKC,290
OKC,LAX,50
LAX,ELP,179
LAX,RNO,101
RNO,LAX,101
ABQ,LAX,46
LAX,SFO,81
SFO,LAX,88
LAX,SFO,84
SFO,LAX,97
LAX,SAN,44
SAN,LAX,47
LAX,SLC,169
SLC,LAX,58
LAX,SFO,72
LAX,SFO,107
SFO,LAX,109
LAX,SEA,186
PDX,LAX,155
OKC,LAX,53
LAX,SEA,191
SEA,LAX,181
LAX,SAT,299
DEN,LAX,92
SAN,LAX,61
SFO,LAX,101
SAT,LAX,53
ELP,LAX,61
ABQ,LAX,46
LAX,ABQ,168
LAX,SFO,77
SFO,LAX,92
DEN,LAX,78
LAX,DEN,199
LAX,PDX,136
PDX,LAX,144
LAX,SAN,78
SAN,LAX,50
SMF,LAX,94
DCA,PVD,84
DCA,CLE,69
RDU,DCA,81
MSP,CLE,170
RIC,LGA,144
JFK,BGR,115
LGA,CVG,164
BWI,CVG,103
CVG,BWI,84
MSP,PIT,202
RIC,LGA,92
BGR,LGA,90
CVG,MSP,61
RIC,DTW,101
JFK,CLE,104
DCA,JFK,70
PIT,DTW,63
RIC,LGA,87
DTW,JFK,108
SYR,DTW,84
IND,RDU,95
RDU,IND,104
DFW,MSP,139
MSP,DFW,151
BOS,JFK,92
LGA,STL,93
EWR,MSP,116
MSP,EWR,257
GRR,LGA,112
LGA,ORF,97
JFK,BWI,94
LGA,STL,99
ATL,AVL,83
AVL,ATL,77
JFK,DCA,78
BWI,JFK,67
MCI,LGA,228
MSY,LGA,244
PIT,LGA,107
JFK,DCA,86
LGA,PWM,68
BWI,JFK,68
